2024-12-04 20:30:16 install libtirpc-dev:amd64 <none> 1.3.3+ds-1
2024-12-04 20:30:16 status half-installed libtirpc-dev:amd64 1.3.3+ds-1
2024-12-04 20:30:16 status unpacked libtirpc-dev:amd64 1.3.3+ds-1
2024-12-04 20:30:16 install libnsl-dev:amd64 <none> 1.3.0-2
2024-12-04 20:30:16 status half-installed libnsl-dev:amd64 1.3.0-2
2024-12-04 20:30:16 status unpacked libnsl-dev:amd64 1.3.0-2
2024-12-04 20:30:16 install rpcsvc-proto:amd64 <none> 1.4.3-1
2024-12-04 20:30:16 status half-installed rpcsvc-proto:amd64 1.4.3-1
2024-12-04 20:30:16 status unpacked rpcsvc-proto:amd64 1.4.3-1
2024-12-04 20:30:16 install libc6-dev:amd64 <none> 2.36-9+deb12u9
2024-12-04 20:30:16 status half-installed libc6-dev:amd64 2.36-9+deb12u9
2024-12-04 20:30:16 status unpacked libc6-dev:amd64 2.36-9+deb12u9
2024-12-04 20:30:16 install libbluetooth-dev:amd64 <none> 5.66-1+deb12u2
2024-12-04 20:30:16 status half-installed libbluetooth-dev:amd64 5.66-1+deb12u2
2024-12-04 20:30:17 status unpacked libbluetooth-dev:amd64 5.66-1+deb12u2
2024-12-04 20:30:17 install libbrotli1:amd64 <none> 1.0.9-2+b6
2024-12-04 20:30:17 status half-installed libbrotli1:amd64 1.0.9-2+b6
2024-12-04 20:30:17 status unpacked libbrotli1:amd64 1.0.9-2+b6
2024-12-04 20:30:17 install libbrotli-dev:amd64 <none> 1.0.9-2+b6
2024-12-04 20:30:17 status half-installed libbrotli-dev:amd64 1.0.9-2+b6
2024-12-04 20:30:17 status unpacked libbrotli-dev:amd64 1.0.9-2+b6
2024-12-04 20:30:17 install libbsd0:amd64 <none> 0.11.7-2
2024-12-04 20:30:17 status half-installed libbsd0:amd64 0.11.7-2
2024-12-04 20:30:17 status unpacked libbsd0:amd64 0.11.7-2
2024-12-04 20:30:17 install libbz2-dev:amd64 <none> 1.0.8-5+b1
2024-12-04 20:30:17 status half-installed libbz2-dev:amd64 1.0.8-5+b1
2024-12-04 20:30:17 status unpacked libbz2-dev:amd64 1.0.8-5+b1
2024-12-04 20:30:17 install libdb5.3-dev:amd64 <none> 5.3.28+dfsg2-1
2024-12-04 20:30:17 status half-installed libdb5.3-dev:amd64 5.3.28+dfsg2-1
2024-12-04 20:30:17 status unpacked libdb5.3-dev:amd64 5.3.28+dfsg2-1
2024-12-04 20:30:17 install libdb-dev:amd64 <none> 5.3.2
2024-12-04 20:30:17 status half-installed libdb-dev:amd64 5.3.2
2024-12-04 20:30:17 status unpacked libdb-dev:amd64 5.3.2
2024-12-04 20:30:17 install libexpat1:amd64 <none> 2.5.0-1+deb12u1
2024-12-04 20:30:17 status half-installed libexpat1:amd64 2.5.0-1+deb12u1
2024-12-04 20:30:17 status unpacked libexpat1:amd64 2.5.0-1+deb12u1
2024-12-04 20:30:17 install libexpat1-dev:amd64 <none> 2.5.0-1+deb12u1
2024-12-04 20:30:17 status half-installed libexpat1-dev:amd64 2.5.0-1+deb12u1
2024-12-04 20:30:17 status unpacked libexpat1-dev:amd64 2.5.0-1+deb12u1
2024-12-04 20:30:17 install libffi-dev:amd64 <none> 3.4.4-1
2024-12-04 20:30:17 status half-installed libffi-dev:amd64 3.4.4-1
2024-12-04 20:30:17 status unpacked libffi-dev:amd64 3.4.4-1
2024-12-04 20:30:17 install libpng16-16:amd64 <none> 1.6.39-2
2024-12-04 20:30:17 status half-installed libpng16-16:amd64 1.6.39-2
2024-12-04 20:30:17 status unpacked libpng16-16:amd64 1.6.39-2
2024-12-04 20:30:17 install libfreetype6:amd64 <none> 2.12.1+dfsg-5+deb12u3
2024-12-04 20:30:17 status half-installed libfreetype6:amd64 2.12.1+dfsg-5+deb12u3
